81.00	50.00	99.00	66.00	50.00	50.00	50.00	Francotirador
35.00	95.00	35.00	66.00	80.00	68.00	69.00	Medico
100.00	65.00	66.00	60.00	98.00	35.00	70.00	Artilleria
88.00	35.00	80.00	95.00	73.00	70.00	90.00	Mercenario
80.00	85.00	84.00	88.00	81.00	71.00	75.00	Infanteria
79.00	55.00	96.00	68.00	45.00	58.00	59.00	Francotirador
90.00	64.00	59.00	55.00	95.00	40.00	35.00	Artilleria
94.00	64.00	57.00	58.00	97.00	38.00	40.00	Artilleria
74.00	90.00	49.00	83.00	70.00	50.00	85.00	Infanteria
33.00	90.00	33.00	69.00	83.00	77.00	75.00	Medico
85.00	38.00	85.00	80.00	74.00	77.00	91.00	Mercenario
96.00	68.00	93.00	71.00	50.00	80.00	56.00	Infanteria
32.00	96.00	37.00	60.00	85.00	80.00	87.00	Medico
77.00	54.00	100.00	69.00	51.00	55.00	60.00	Francotirador
96.00	63.00	58.00	50.00	94.00	39.00	49.00	Artilleria
89.00	40.00	89.00	88.00	70.00	75.00	94.00	Mercenario
70.00	89.00	48.00	84.00	71.00	96.00	43.00	Infanteria
80.00	58.00	97.00	70.00	40.00	59.00	59.00	Francotirador
75.00	50.00	98.00	65.00	49.00	60.00	63.00	Francotirador
31.00	100.00	36.00	60.00	83.00	78.00	79.00	Medico
98.00	68.00	60.00	49.00	92.00	40.00	48.00	Artilleria
86.00	39.00	80.00	89.00	69.00	78.00	96.00	Mercenario
40.00	91.00	75.00	35.00	75.00	39.00	73.00	Infanteria
88.00	36.00	82.00	90.00	71.00	79.00	95.00	Mercenario
30.00	90.00	30.00	58.00	77.00	79.00	78.00	Medico
78.00	51.00	94.00	67.00	59.00	61.00	69.00	Francotirador
99.00	66.00	64.00	51.00	97.00	42.00	45.00	Artilleria
84.00	38.00	84.00	96.00	60.00	80.00	89.00	Mercenario
25.00	92.00	39.00	59.00	80.00	75.00	80.00	Medico
76.00	51.00	85.00	55.00	79.00	49.00	80.00	Infanteria
